industry,composite_score,years,companies_unique,med_gm,gm_trend_pp,med_rev_growth,rev_stability_cv,med_roe,med_profit_growth,ocf_quality_ratio
IT服务Ⅱ,4.9,11,4,43.3,9.0,9.8,3.72,2.7,9.7,-0.06
一般零售,2.05,11,6,27.1,33.4,-0.1,28.84,4.2,1.6,0.52
专业工程,5.36,11,3,12.3,-6.7,14.8,2.26,5.5,11.9,-0.76
专业服务,9.45,11,3,44.9,-22.6,20.5,1.63,4.8,21.1,1.43
专业连锁Ⅱ,5.92,11,3,13.8,-11.0,11.4,1.92,2.5,12.7,0.32
专用设备,1.69,11,9,22.8,-5.5,5.9,17.96,1.9,0.4,-0.03
个护用品,5.8,10,3,22.2,11.9,6.7,3.45,8.3,15.1,1.16
中药Ⅱ,10,11,3,68.5,-4.8,10.7,1.69,8.9,15.2,0.99
乘用车,5.32,11,3,16.3,-19.9,11.0,2.58,5.9,5.8,0.91
互联网电商,2.65,11,4,27.0,-35.7,6.2,95.7,1.1,21.1,-0.09
休闲食品,10,11,3,46.1,-29.7,12.9,1.23,15.0,21.1,1.62
体育Ⅱ,2.74,11,3,19.5,-29.4,6.2,7.26,0.8,2.4,0.95
元件,6.69,11,3,20.5,4.8,12.8,1.92,4.0,12.4,0.84
光伏设备,4.77,11,10,24.3,-66.9,19.6,3.7,4.6,14.8,0.28
光学光电子,0.76,11,8,19.7,-26.7,3.2,187.54,1.1,-10.9,0.52
其他家电Ⅱ,5.97,11,3,32.4,-1.5,11.0,3.01,3.3,19.9,0.66
其他电子Ⅱ,2.81,11,4,28.1,-30.0,6.0,137.76,5.0,7.1,0.86
其他电源设备Ⅱ,5.08,11,4,35.4,-7.1,19.8,3.44,1.7,14.5,0.31
养殖业,3.04,11,4,18.1,11.4,10.5,15.67,2.7,19.3,0.49
军工电子Ⅱ,5.27,11,4,39.4,9.4,16.6,2.54,1.6,4.5,-0.1
农业综合Ⅱ,4.24,11,2,16.4,-30.2,7.4,3.79,3.9,16.8,-1.88
农产品加工,1.66,11,4,12.4,-0.5,4.8,6307.07,1.2,12.3,0.43
农化制品,6.11,11,4,26.8,11.6,10.0,2.61,5.0,12.4,1.01
冶钢原料,2.99,11,3,35.7,18.0,3.5,13.19,4.8,-3.6,1.43
出版,5.18,11,3,37.3,24.3,3.2,4.43,6.9,7.3,0.88
动物保健Ⅱ,6.62,11,4,67.7,-2.7,8.4,3.3,6.4,2.5,0.62
