code,year,pdf,text_len,研发投入,研发费用,研发占收入,资本开支,在建工程,员工人数,研发人员,专利数量
000048,2018,094d591d90d61f08142686cc.pdf,157434,,"21,972,550.48 元",,,,,,
000048,2019,12db0b68967f221be869ee52.pdf,158401,,,,,"31,806,275.84 元",,,
000048,2020,84adf2c0c220173b05619b51.pdf,161572,,,,,"963,723,460.99 元",,,
000048,2022,594e20782a815fef8c7bfbec.pdf,173387,,,,,,,,12
000048,2023,0cde002df4e7217cc94e2754.pdf,173626,,,,,,,,28
000048,2023,0b8d284958ad838f019433e0.pdf,173653,,,,,,,,28
000636,2015,d208fdcc06615f39fcda53e0.pdf,135106,,,,,,,,31
000636,2016,19944aecfe51d669ecc061bc.pdf,133578,,,,,,118,,23
000636,2017,dbfc041dee03837190b47eaf.pdf,151143,,,,,,,,54
000636,2017,db74de8d9f506fb151eb59fe.pdf,151052,,,,,,,,54
000636,2018,643bad9aad21f27115bdf8bf.pdf,151692,,,,,,,,3
000636,2019,9e6ddf8ceb12d34b7774658f.pdf,154748,,,,,,,,1
000636,2020,34b55d51593e54943888afbf.pdf,157915,,,,,,,,1
000636,2021,308b5d9e80924c68d17f2403.pdf,155409,,,28.04,,"128,164.90 万元",,,6
000636,2022,0afcaec1f34031c70e8eecf7.pdf,143168,,,,,"31,130.36 万元",,,
000636,2023,1f10bd8aa895f9feb2cf4f9f.pdf,135835,,,,,,,,691
000663,2018,2127f32e8349aab0c4f9ace5.pdf,145515,,,,,,,,6
000663,2019,9be5d79e4ef24c7c7aff25ff.pdf,128714,,,,,,,,8
000663,2020,e875ef98e0faf25b1b4da0b1.pdf,121919,,,,,,,,14
000663,2021,37aad4949c94edcce3a0f44f.pdf,148793,,,,,,,,20
000663,2022,856b0a7935262bf70a0f8ae3.pdf,140137,,,,,,,,25
000663,2022,0442d802a469d009d4ae49ae.pdf,139886,,,,,,,,25
000663,2023,b69dbdb874330d3e8bc6ecc9.pdf,140321,,,,,"2,037.83 万元",,,18
000663,2023,6bf1c866f5b60c305b9a4241.pdf,137697,,,,,"2,037.83 万元",,,18
000791,2015,6d74eadd1fd3fa2ed90bad69.pdf,140821,,,,,"709,007,309.07 元",,,
000791,2017,f783b4d9ca04675c7114bc76.pdf,146002,,,,,"999,906,869.13
元",,,
000799,2016,2f4f7d61da908c3f636490c7.pdf,124491,,,,,,12,,
000799,2018,38fcd98051f2eb7fcc3b6031.pdf,115185,,"3,510,199.45 元",,,"17,241,372.45 元",,,
000810,2015,26720a5efbc15f82d8e49a6e.pdf,105115,,,15.28,,,,,
000810,2018,952e9ef9012a6fd2322fe4f6.pdf,154738,,,23.51,,,,,
000810,2019,6bee023526ee848025e23fc0.pdf,143883,,,163.35,,,,,
000810,2020,bf5a8cc532367f0c80ca5991.pdf,144647,,,,"4,200万元",,,,
000810,2021,59e3d3813addd8cba751b599.pdf,147656,,,,"6,000万元",,,,
000968,2015,022df827f7d58bd110c2ab1c.pdf,122163,,,,,,9273,,
000968,2020,1fd1e5984ec95e5af82a6b9c.pdf,123935,,,,,,,,601
000968,2021,ce99fbb5503f5afec31727b6.pdf,153011,,,33.25,,,,,58
000968,2022,6c05abf462327f84c7eb350b.pdf,152777,8734 万元,,5.73,,,,,107
000968,2023,cfae1dd00eb115ca1dcabe8a.pdf,159853,,,6.90,,,,,126
000968,2023,aaad9d3f51cab349006e4204.pdf,159850,,,6.90,,,,,126
000975,2015,c4adfc910923a939641bdaa1.pdf,122592,,,,,,401,,
000975,2018,419beb1dce494ab1de4cec72.pdf,184667,,,,,"3,004,442.07元",,,
000975,2019,5f2a11fe9f20526aaf04f55c.pdf,177599,,,,,,43,,
000975,2023,4baa62ec50ce8d04d139cf27.pdf,160570,,,,,"4,530,904.67 元",,,
002032,2016,a9d5ead23733d65d1b40c0ac.pdf,139518,,,,,,,,1740
002032,2017,8292bfb7f11885570ae6d96c.pdf,162427,,,,,,,,"3,013"
002098,2016,e9d21bdef6555974ac19f5ff.pdf,126568,,,,,,,,471
002098,2017,3a6ccb368db3274bceccfcf2.pdf,129964,,,,,957.51 万元,35,,
002098,2018,273fb2c64864192c049bf76d.pdf,132205,,,,,,35,,622
002098,2019,c7d2854928ac11808c0aba75.pdf,136669,,,,,,1,,
002098,2021,87aacce99e6bf6812551fb47.pdf,145825,,,,,,,,17
002098,2022,00e9bacdcc792587f3d58bcd.pdf,153536,,,,,,,,271
002128,2019,990e43f1135522940fd1e78c.pdf,178234,,856.48万元,,,,,,
002258,2018,a20832f17ac6290953743e44.pdf,156316,,,,,,46,,
002258,2019,2d042df0748b655eb2df5a27.pdf,153699,,,,,,43,,
002258,2020,93b26868f3ea348465adc7b2.pdf,154035,,,,,,31,,
002258,2021,d6dab91133b5b56725d0c9a0.pdf,155727,,,,,"934,988,863.80元",5,,
002258,2022,af927e2445d0a24226b4c548.pdf,158653,,,,,,357,,
002258,2023,358c27a1f40b3782f8d7fe48.pdf,151782,,,,,"822,568.22 万元",52,,
002304,2018,37cf4f87e1c6d0a80e77cdc0.pdf,134940,,,,,,38939,,2
002304,2019,ed5197b0fa954d9c3a454671.pdf,136256,,,,,,20455,,1
002304,2022,a4e82fdb3b1845f46f6c6ee0.pdf,149282,,,43.09,,,,,
