code,year,found_core_competitiveness,found_suppliers,found_capacity,found_contract,patent_count,supplier_concentration,customer_concentration,gross_margin_mean,gross_margin_std,rd_expense,certification_count,text_len,file_path
000036,2016,False,False,False,True,,,,,,,1,16503,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2016/02009277ee2f468f67cac9b0.txt.gz
000036,2017,False,False,False,True,,,,,,,1,6314,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2017/1305b5c6091ffa7a43f3e04c.txt.gz
000036,2018,False,False,False,True,,,,,,,1,8387,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2018/01e0649f8f99e2109f0a7c3e.txt.gz
000036,2019,False,False,False,True,,,,,,,1,19524,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2019/13d059a14d39fa9d31ff14d5.txt.gz
000036,2020,False,False,False,True,,,,,,,1,7018,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2020/67fd4294ad18581ca417131c.txt.gz
000036,2021,False,False,False,True,,,,,,,2,13102,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2021/14d3d4553d630cbc489e7b40.txt.gz
000036,2022,False,False,False,True,,,,,,,3,10501,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2022/17ce3a19788d8331f4734ab8.txt.gz
000036,2023,False,False,False,True,,,,,,,2,10216,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2023/3cb6d393d90b13d7f6f81602.txt.gz
000036,2024,False,False,True,True,,,,,,,2,11830,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000036/2024/4ba8b850b0929f2905b68cef.txt.gz
000048,2016,False,False,False,True,,,,,,,1,21708,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2016/15dbe7d53ac3d984e4351437.txt.gz
000048,2017,False,False,True,True,,,,,,,0,173536,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2017/6d1b54281e591be3f0f97ef0.txt.gz
000048,2018,False,False,True,True,,,,7.77,0.4,,0,19653,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2018/19dcf5a676e71be7419cfb1c.txt.gz
000048,2019,True,False,False,True,,,,,,,1,9254,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2019/638648e55c7258f0c0060aaf.txt.gz
000048,2020,True,False,True,True,,,,,,,3,21168,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2020/02f7571c75a803e88361ff53.txt.gz
000048,2021,False,False,True,True,,,,,,,5,6462,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2021/00a45072601f1fc84c4731de.txt.gz
000048,2022,True,False,True,True,,,,20.79,13.03,,3,11416,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2022/521f84e94db3c2196c8b003f.txt.gz
000048,2023,False,False,True,True,,,,77.48,31.84,,3,146245,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2023/3f51834f25e9dd1e60af4487.txt.gz
000048,2024,False,False,False,True,,,,,,,3,11455,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000048/2024/2d0244fce3cbe4a3e3b11431.txt.gz
000636,2016,True,False,True,True,,,,,,,3,126747,/Users/bessie/codex/Long_Toll_Road /回测/industry_pit/extracted-quarterly/000636/2016/3b35a9d6134ebaf261cda8c7.txt.gz
